shop_id,medicine_id,medicine_name,sale_date,quantity
SHOP002,73165,Lupisulide P,2025-01-17,5
SHOP001,73131,Dolo 650,2025-01-17,2
SHOP001,73167,Zerodol SP,2025-01-17,2
SHOP002,73165,Lupisulide P,2025-01-18,4
SHOP002,73173,Neurobion Forte,2025-01-18,1
SHOP001,73155,Thyronorm 50,2025-01-19,1
SHOP001,73141,Pan 40,2025-01-19,3
SHOP002,73167,Zerodol SP,2025-01-19,5
SHOP001,73157,Eldoper Caps,2025-01-19,1
SHOP001,73152,Zocon 150,2025-01-20,2
SHOP002,73143,Allegra 120,2025-01-20,2
SHOP002,73175,Avil 25,2025-01-20,3
SHOP002,73139,Ondem 4mg,2025-01-20,1
SHOP002,73179,Itaspor 100,2025-01-20,5
SHOP002,73160,Meftal Spas,2025-01-21,1
SHOP002,73173,Neurobion Forte,2025-01-21,3
SHOP001,73135,Glycomet GP2,2025-01-21,7
SHOP002,73132,Montair LC,2025-01-21,18
SHOP001,73130,Pantop DSR,2025-01-22,1
SHOP002,73147,Amlokind 5,2025-01-23,3
SHOP001,73139,Ondem 4mg,2025-01-23,2
SHOP002,73151,Celin 500,2025-01-23,4
SHOP001,73132,Montair LC,2025-01-23,10
SHOP001,73146,Janumet 50/500,2025-01-23,3
SHOP002,73146,Janumet 50/500,2025-01-23,6
SHOP001,73164,Limcee 500,2025-01-24,5
SHOP001,73155,Thyronorm 50,2025-01-24,5
SHOP002,73143,Allegra 120,2025-01-24,5
SHOP002,73173,Neurobion Forte,2025-01-24,5
SHOP001,73176,Calpol 500,2025-01-24,2
SHOP001,73138,Moxikind CV 625,2025-01-24,2
SHOP001,73176,Calpol 500,2025-01-25,3
SHOP002,73159,Taxim O 200,2025-01-25,2
SHOP001,73164,Limcee 500,2025-01-25,3
SHOP001,73145,Benadryl Syrup,2025-01-26,7
SHOP001,73161,Aztor 10,2025-01-26,4
SHOP002,73148,Cyclopam,2025-01-27,3
SHOP001,73144,Combiflam,2025-01-27,5
SHOP001,73130,Pantop DSR,2025-01-27,3
SHOP002,73168,Rabekind D,2025-01-27,2
SHOP002,73167,Zerodol SP,2025-01-28,5
SHOP001,73171,Alex Cough Syrup,2025-01-28,9
SHOP002,73161,Aztor 10,2025-01-28,5
SHOP002,73146,Janumet 50/500,2025-01-28,6
SHOP001,73148,Cyclopam,2025-01-29,2
SHOP001,73139,Ondem 4mg,2025-01-29,5
SHOP002,73159,Taxim O 200,2025-01-29,1
SHOP001,73179,Itaspor 100,2025-01-29,4
SHOP001,73144,Combiflam,2025-01-30,2
SHOP001,73150,Shelcal 500,2025-01-30,1
SHOP001,73139,Ondem 4mg,2025-01-30,3
SHOP002,73173,Neurobion Forte,2025-01-30,1
SHOP001,73147,Amlokind 5,2025-01-30,8
SHOP002,73133,Azithral 500,2025-01-31,4
SHOP001,73177,Voveran SR 100,2025-01-31,1
SHOP002,73144,Combiflam,2025-01-31,2
SHOP002,73158,Cefakind 500,2025-01-31,4
SHOP001,73160,Meftal Spas,2025-01-31,1
SHOP002,73139,Ondem 4mg,2025-01-31,1
SHOP002,73138,Moxikind CV 625,2025-01-31,2
SHOP002,73173,Neurobion Forte,2025-01-31,4
SHOP001,73160,Meftal Spas,2025-01-31,4
SHOP001,73177,Voveran SR 100,2025-02-01,5
SHOP002,73154,Gelusil MPS,2025-02-01,5
SHOP001,73166,Ofal-OZ,2025-02-01,4
SHOP002,73135,Glycomet GP2,2025-02-02,3
SHOP001,73151,Celin 500,2025-02-02,4
SHOP002,73169,Foracort 200,2025-02-02,1
SHOP002,73131,Dolo 650,2025-02-02,2
SHOP001,73155,Thyronorm 50,2025-02-02,4
SHOP001,73135,Glycomet GP2,2025-02-02,6
SHOP001,73147,Amlokind 5,2025-02-02,4
SHOP002,73135,Glycomet GP2,2025-02-03,5
SHOP002,73178,Ovez-D,2025-02-03,1
SHOP001,73168,Rabekind D,2025-02-03,3
SHOP001,73160,Meftal Spas,2025-02-03,1
SHOP002,73163,Metolar XR 25,2025-02-04,10
SHOP001,73166,Ofal-OZ,2025-02-04,4
SHOP002,73135,Glycomet GP2,2025-02-04,10
SHOP001,73171,Alex Cough Syrup,2025-02-05,20
SHOP001,73137,Electral Powder,2025-02-05,5
SHOP002,73145,Benadryl Syrup,2025-02-06,10
SHOP002,73169,Foracort 200,2025-02-06,4
SHOP002,73154,Gelusil MPS,2025-02-07,5
SHOP002,73155,Thyronorm 50,2025-02-07,4
SHOP001,73135,Glycomet GP2,2025-02-08,3
SHOP002,73170,Asthalin Inhaler,2025-02-08,3
SHOP001,73153,Deriphyllin 150,2025-02-08,3
SHOP001,73133,Azithral 500,2025-02-08,2
SHOP002,73147,Amlokind 5,2025-02-08,8
SHOP001,73149,Becosules Caps,2025-02-08,5
SHOP002,73161,Aztor 10,2025-02-08,4
SHOP002,73160,Meftal Spas,2025-02-09,2
SHOP002,73142,Ciplox 500,2025-02-09,2
SHOP002,73158,Cefakind 500,2025-02-10,1
SHOP002,73166,Ofal-OZ,2025-02-12,2
SHOP001,73159,Taxim O 200,2025-02-12,5
SHOP002,73169,Foracort 200,2025-02-12,1
SHOP002,73153,Deriphyllin 150,2025-02-12,1
SHOP002,73131,Dolo 650,2025-02-13,4
SHOP001,73146,Janumet 50/500,2025-02-13,7
SHOP002,73133,Azithral 500,2025-02-13,2
SHOP001,73163,Metolar XR 25,2025-02-13,9
SHOP002,73153,Deriphyllin 150,2025-02-13,5
SHOP002,73169,Foracort 200,2025-02-13,4
SHOP002,73138,Moxikind CV 625,2025-02-13,4
SHOP002,73167,Zerodol SP,2025-02-13,3
SHOP002,73135,Glycomet GP2,2025-02-13,6
SHOP002,73164,Limcee 500,2025-02-14,1
SHOP002,73140,Atorva 10,2025-02-14,7
SHOP001,73177,Voveran SR 100,2025-02-14,1
SHOP001,73171,Alex Cough Syrup,2025-02-14,14
SHOP001,73141,Pan 40,2025-02-14,4
SHOP001,73132,Montair LC,2025-02-14,14
SHOP001,73138,Moxikind CV 625,2025-02-15,3
SHOP001,73160,Meftal Spas,2025-02-15,5
SHOP001,73132,Montair LC,2025-02-15,9
SHOP001,73177,Voveran SR 100,2025-02-16,2
SHOP001,73179,Itaspor 100,2025-02-16,3
SHOP002,73173,Neurobion Forte,2025-02-16,4
SHOP001,73161,Aztor 10,2025-02-16,9
SHOP001,73151,Celin 500,2025-02-16,1
SHOP001,73153,Deriphyllin 150,2025-02-16,3
SHOP001,73138,Moxikind CV 625,2025-02-16,3
SHOP002,73172,Evion 400,2025-02-17,5
SHOP002,73134,Ascoril LS Syrup,2025-02-17,14
SHOP001,73164,Limcee 500,2025-02-17,3
SHOP002,73139,Ondem 4mg,2025-02-17,5
SHOP001,73163,Metolar XR 25,2025-02-17,3
SHOP001,73132,Montair LC,2025-02-18,8
SHOP001,73138,Moxikind CV 625,2025-02-18,1
SHOP002,73166,Ofal-OZ,2025-02-18,4
SHOP001,73152,Zocon 150,2025-02-18,3
SHOP002,73154,Gelusil MPS,2025-02-18,4
SHOP001,73150,Shelcal 500,2025-02-19,4
SHOP002,73148,Cyclopam,2025-02-19,5
SHOP001,73177,Voveran SR 100,2025-02-19,1
SHOP001,73156,Ecosprin 75,2025-02-19,6
SHOP002,73158,Cefakind 500,2025-02-19,4
SHOP001,73156,Ecosprin 75,2025-02-20,5
SHOP002,73161,Aztor 10,2025-02-20,7
SHOP001,73147,Amlokind 5,2025-02-20,9
SHOP001,73137,Electral Powder,2025-02-21,2
SHOP001,73165,Lupisulide P,2025-02-21,4
SHOP001,73137,Electral Powder,2025-02-21,4
SHOP002,73138,Moxikind CV 625,2025-02-21,3
SHOP001,73135,Glycomet GP2,2025-02-21,5
SHOP002,73138,Moxikind CV 625,2025-02-22,4
SHOP002,73168,Rabekind D,2025-02-22,3
SHOP002,73140,Atorva 10,2025-02-22,9
SHOP002,73135,Glycomet GP2,2025-02-22,3
SHOP001,73143,Allegra 120,2025-02-22,5
SHOP002,73149,Becosules Caps,2025-02-22,3
SHOP001,73154,Gelusil MPS,2025-02-22,3
SHOP002,73157,Eldoper Caps,2025-02-23,5
SHOP001,73144,Combiflam,2025-02-23,5
SHOP001,73177,Voveran SR 100,2025-02-23,4
SHOP001,73133,Azithral 500,2025-02-23,4
SHOP002,73134,Ascoril LS Syrup,2025-02-23,8
SHOP001,73156,Ecosprin 75,2025-02-23,10
SHOP002,73170,Asthalin Inhaler,2025-02-23,3
SHOP001,73159,Taxim O 200,2025-02-23,4
SHOP001,73170,Asthalin Inhaler,2025-02-23,4
SHOP002,73145,Benadryl Syrup,2025-02-23,16
SHOP001,73145,Benadryl Syrup,2025-02-23,12
SHOP002,73130,Pantop DSR,2025-02-24,4
SHOP002,73149,Becosules Caps,2025-02-24,1
SHOP001,73173,Neurobion Forte,2025-02-25,2
SHOP001,73159,Taxim O 200,2025-02-25,4
SHOP001,73159,Taxim O 200,2025-02-25,3
SHOP001,73141,Pan 40,2025-02-25,1
SHOP002,73132,Montair LC,2025-02-26,6
SHOP002,73138,Moxikind CV 625,2025-02-26,5
SHOP002,73166,Ofal-OZ,2025-02-26,2
SHOP002,73166,Ofal-OZ,2025-02-27,3
SHOP001,73146,Janumet 50/500,2025-02-27,9
SHOP001,73132,Montair LC,2025-02-27,17
SHOP002,73130,Pantop DSR,2025-02-28,5
SHOP001,73135,Glycomet GP2,2025-03-01,4
SHOP002,73139,Ondem 4mg,2025-03-02,2
SHOP002,73162,Cipcal 500,2025-03-03,3
SHOP001,73152,Zocon 150,2025-03-03,2
SHOP001,73178,Ovez-D,2025-03-03,2
SHOP001,73168,Rabekind D,2025-03-03,2
SHOP001,73170,Asthalin Inhaler,2025-03-04,4
SHOP002,73133,Azithral 500,2025-03-04,1
SHOP001,73177,Voveran SR 100,2025-03-04,5
SHOP001,73177,Voveran SR 100,2025-03-04,4
SHOP002,73157,Eldoper Caps,2025-03-05,4
SHOP001,73159,Taxim O 200,2025-03-05,3
SHOP002,73174,Dulcoflex 5mg,2025-03-06,3
SHOP001,73131,Dolo 650,2025-03-06,4
SHOP002,73143,Allegra 120,2025-03-06,4
SHOP001,73174,Dulcoflex 5mg,2025-03-06,1
SHOP002,73153,Deriphyllin 150,2025-03-07,1
SHOP002,73131,Dolo 650,2025-03-07,5
SHOP002,73142,Ciplox 500,2025-03-08,3
SHOP002,73161,Aztor 10,2025-03-08,3
SHOP002,73149,Becosules Caps,2025-03-08,2
SHOP001,73171,Alex Cough Syrup,2025-03-08,4
SHOP002,73148,Cyclopam,2025-03-09,5
SHOP002,73131,Dolo 650,2025-03-09,4
SHOP001,73179,Itaspor 100,2025-03-10,3
SHOP002,73172,Evion 400,2025-03-10,3
SHOP001,73161,Aztor 10,2025-03-10,4
SHOP002,73158,Cefakind 500,2025-03-11,3
SHOP002,73166,Ofal-OZ,2025-03-11,3
SHOP002,73146,Janumet 50/500,2025-03-11,3
SHOP001,73146,Janumet 50/500,2025-03-11,3
SHOP001,73156,Ecosprin 75,2025-03-11,4
SHOP002,73173,Neurobion Forte,2025-03-11,1
SHOP001,73156,Ecosprin 75,2025-03-11,7
SHOP001,73166,Ofal-OZ,2025-03-11,2
SHOP002,73145,Benadryl Syrup,2025-03-11,1
SHOP001,73167,Zerodol SP,2025-03-11,1
SHOP001,73130,Pantop DSR,2025-03-11,24
SHOP002,73142,Ciplox 500,2025-03-12,4
SHOP001,73158,Cefakind 500,2025-03-12,3
SHOP001,73138,Moxikind CV 625,2025-03-12,4
SHOP001,73153,Deriphyllin 150,2025-03-12,3
SHOP002,73132,Montair LC,2025-03-12,3
SHOP001,73178,Ovez-D,2025-03-12,1
SHOP001,73133,Azithral 500,2025-03-13,2
SHOP002,73133,Azithral 500,2025-03-13,3
SHOP002,73136,Telmikind 40,2025-03-13,7
SHOP001,73150,Shelcal 500,2025-03-13,4
SHOP002,73169,Foracort 200,2025-03-13,3
SHOP001,73173,Neurobion Forte,2025-03-13,5
SHOP001,73147,Amlokind 5,2025-03-14,6
SHOP002,73132,Montair LC,2025-03-14,1
SHOP001,73131,Dolo 650,2025-03-15,4
SHOP001,73154,Gelusil MPS,2025-03-16,29
SHOP002,73159,Taxim O 200,2025-03-17,5
SHOP002,73159,Taxim O 200,2025-03-17,4
SHOP002,73146,Janumet 50/500,2025-03-18,5
SHOP001,73166,Ofal-OZ,2025-03-18,4
SHOP001,73146,Janumet 50/500,2025-03-18,10
SHOP001,73157,Eldoper Caps,2025-03-18,2
SHOP001,73178,Ovez-D,2025-03-19,2
SHOP002,73135,Glycomet GP2,2025-03-19,4
SHOP001,73160,Meftal Spas,2025-03-19,3
SHOP001,73136,Telmikind 40,2025-03-19,4
SHOP002,73165,Lupisulide P,2025-03-19,1
SHOP002,73147,Amlokind 5,2025-03-19,8
SHOP001,73148,Cyclopam,2025-03-19,3
SHOP001,73173,Neurobion Forte,2025-03-20,4
SHOP001,73163,Metolar XR 25,2025-03-20,6
SHOP001,73179,Itaspor 100,2025-03-20,2
SHOP001,73169,Foracort 200,2025-03-20,5
SHOP001,73135,Glycomet GP2,2025-03-20,3
SHOP001,73133,Azithral 500,2025-03-21,5
SHOP001,73163,Metolar XR 25,2025-03-21,4
SHOP002,73137,Electral Powder,2025-03-21,29
SHOP002,73168,Rabekind D,2025-03-21,3
SHOP002,73166,Ofal-OZ,2025-03-21,4
SHOP001,73167,Zerodol SP,2025-03-21,2
SHOP002,73173,Neurobion Forte,2025-03-21,5
SHOP001,73179,Itaspor 100,2025-03-21,4
SHOP001,73152,Zocon 150,2025-03-21,3
SHOP001,73161,Aztor 10,2025-03-21,6
SHOP001,73139,Ondem 4mg,2025-03-22,5
SHOP001,73176,Calpol 500,2025-03-22,4
SHOP002,73153,Deriphyllin 150,2025-03-22,1
SHOP002,73131,Dolo 650,2025-03-22,2
SHOP002,73133,Azithral 500,2025-03-22,1
SHOP002,73158,Cefakind 500,2025-03-22,3
SHOP001,73136,Telmikind 40,2025-03-23,7
SHOP002,73170,Asthalin Inhaler,2025-03-23,2
SHOP002,73172,Evion 400,2025-03-23,3
SHOP001,73146,Janumet 50/500,2025-03-23,5
SHOP001,73176,Calpol 500,2025-03-23,5
SHOP001,73157,Eldoper Caps,2025-03-24,2
SHOP001,73130,Pantop DSR,2025-03-24,10
SHOP002,73151,Celin 500,2025-03-24,2
SHOP002,73157,Eldoper Caps,2025-03-25,4
SHOP002,73175,Avil 25,2025-03-25,4
SHOP001,73147,Amlokind 5,2025-03-26,7
SHOP002,73139,Ondem 4mg,2025-03-26,4
SHOP002,73166,Ofal-OZ,2025-03-26,1
SHOP001,73175,Avil 25,2025-03-26,4
SHOP001,73147,Amlokind 5,2025-03-27,10
SHOP001,73146,Janumet 50/500,2025-03-27,5
SHOP002,73175,Avil 25,2025-03-27,3
SHOP001,73150,Shelcal 500,2025-03-28,1
SHOP002,73149,Becosules Caps,2025-03-28,2
SHOP002,73134,Ascoril LS Syrup,2025-03-28,1
SHOP002,73165,Lupisulide P,2025-03-28,4
SHOP001,73138,Moxikind CV 625,2025-03-29,4
SHOP001,73137,Electral Powder,2025-03-29,21
SHOP002,73143,Allegra 120,2025-03-29,3
SHOP001,73139,Ondem 4mg,2025-03-29,4
SHOP001,73176,Calpol 500,2025-03-29,2
SHOP001,73169,Foracort 200,2025-03-29,5
SHOP002,73166,Ofal-OZ,2025-03-29,4
SHOP002,73142,Ciplox 500,2025-03-29,4
SHOP002,73179,Itaspor 100,2025-03-30,4
SHOP002,73172,Evion 400,2025-03-30,1
SHOP002,73158,Cefakind 500,2025-03-30,2
SHOP001,73154,Gelusil MPS,2025-03-30,13
SHOP001,73135,Glycomet GP2,2025-03-31,6
SHOP001,73155,Thyronorm 50,2025-03-31,2
SHOP002,73163,Metolar XR 25,2025-03-31,6
SHOP002,73165,Lupisulide P,2025-03-31,4
SHOP002,73142,Ciplox 500,2025-03-31,4
SHOP002,73172,Evion 400,2025-03-31,3
SHOP001,73169,Foracort 200,2025-04-01,3
SHOP001,73176,Calpol 500,2025-04-01,3
SHOP002,73154,Gelusil MPS,2025-04-02,20
SHOP001,73143,Allegra 120,2025-04-02,2
SHOP002,73151,Celin 500,2025-04-02,3
SHOP001,73169,Foracort 200,2025-04-02,5
SHOP001,73152,Zocon 150,2025-04-02,2
SHOP001,73166,Ofal-OZ,2025-04-02,4
SHOP001,73172,Evion 400,2025-04-02,4
SHOP002,73149,Becosules Caps,2025-04-02,3
SHOP001,73164,Limcee 500,2025-04-02,1
SHOP001,73136,Telmikind 40,2025-04-02,8
SHOP002,73176,Calpol 500,2025-04-03,5
SHOP001,73141,Pan 40,2025-04-03,30
SHOP002,73171,Alex Cough Syrup,2025-04-04,4
SHOP001,73135,Glycomet GP2,2025-04-04,4
SHOP002,73162,Cipcal 500,2025-04-04,5
SHOP001,73160,Meftal Spas,2025-04-04,5
SHOP001,73154,Gelusil MPS,2025-04-04,24
SHOP001,73168,Rabekind D,2025-04-05,2
SHOP002,73144,Combiflam,2025-04-05,2
SHOP002,73133,Azithral 500,2025-04-05,5
SHOP001,73143,Allegra 120,2025-04-06,2
SHOP001,73162,Cipcal 500,2025-04-06,3
SHOP002,73141,Pan 40,2025-04-06,13
SHOP002,73162,Cipcal 500,2025-04-06,3
SHOP002,73170,Asthalin Inhaler,2025-04-06,3
SHOP002,73159,Taxim O 200,2025-04-06,4
SHOP001,73164,Limcee 500,2025-04-07,3
SHOP002,73131,Dolo 650,2025-04-07,3
SHOP002,73157,Eldoper Caps,2025-04-08,3
SHOP002,73178,Ovez-D,2025-04-08,5
SHOP001,73130,Pantop DSR,2025-04-08,29
SHOP001,73143,Allegra 120,2025-04-08,4
SHOP002,73147,Amlokind 5,2025-04-08,10
SHOP002,73174,Dulcoflex 5mg,2025-04-08,5
SHOP001,73132,Montair LC,2025-04-09,2
SHOP001,73172,Evion 400,2025-04-09,5
SHOP001,73160,Meftal Spas,2025-04-09,5
SHOP001,73132,Montair LC,2025-04-09,2
SHOP001,73179,Itaspor 100,2025-04-09,5
SHOP001,73163,Metolar XR 25,2025-04-09,8
SHOP001,73172,Evion 400,2025-04-10,3
SHOP002,73176,Calpol 500,2025-04-10,4
SHOP001,73139,Ondem 4mg,2025-04-10,3
SHOP002,73141,Pan 40,2025-04-10,20
SHOP002,73161,Aztor 10,2025-04-11,4
SHOP001,73177,Voveran SR 100,2025-04-11,4
SHOP002,73138,Moxikind CV 625,2025-04-11,3
SHOP002,73136,Telmikind 40,2025-04-11,8
SHOP001,73155,Thyronorm 50,2025-04-11,3
SHOP002,73139,Ondem 4mg,2025-04-12,2
SHOP002,73161,Aztor 10,2025-04-12,4
SHOP001,73164,Limcee 500,2025-04-12,5
SHOP001,73162,Cipcal 500,2025-04-13,4
SHOP001,73164,Limcee 500,2025-04-13,2
SHOP001,73132,Montair LC,2025-04-13,3
SHOP002,73148,Cyclopam,2025-04-13,5
SHOP001,73176,Calpol 500,2025-04-13,1
SHOP001,73159,Taxim O 200,2025-04-13,4
SHOP001,73130,Pantop DSR,2025-04-13,13
SHOP001,73174,Dulcoflex 5mg,2025-04-13,3
SHOP002,73144,Combiflam,2025-04-14,5
SHOP001,73133,Azithral 500,2025-04-14,3
SHOP002,73169,Foracort 200,2025-04-14,5
SHOP002,73153,Deriphyllin 150,2025-04-14,5
SHOP002,73171,Alex Cough Syrup,2025-04-14,1
SHOP001,73131,Dolo 650,2025-04-14,5
SHOP002,73152,Zocon 150,2025-04-15,1
SHOP001,73177,Voveran SR 100,2025-04-15,5
SHOP001,73154,Gelusil MPS,2025-04-15,29
SHOP002,73179,Itaspor 100,2025-04-16,5
SHOP002,73175,Avil 25,2025-04-16,1
SHOP001,73134,Ascoril LS Syrup,2025-04-16,1
SHOP002,73156,Ecosprin 75,2025-04-16,7
SHOP001,73164,Limcee 500,2025-04-17,4
SHOP002,73132,Montair LC,2025-04-18,4
SHOP002,73158,Cefakind 500,2025-04-18,5
SHOP001,73151,Celin 500,2025-04-18,2
SHOP002,73139,Ondem 4mg,2025-04-19,1
SHOP001,73165,Lupisulide P,2025-04-19,1
SHOP002,73133,Azithral 500,2025-04-19,1
SHOP002,73169,Foracort 200,2025-04-20,2
SHOP002,73168,Rabekind D,2025-04-20,1
SHOP001,73145,Benadryl Syrup,2025-04-20,1
SHOP001,73130,Pantop DSR,2025-04-20,22
SHOP001,73152,Zocon 150,2025-04-20,2
SHOP002,73161,Aztor 10,2025-04-20,10
SHOP001,73141,Pan 40,2025-04-20,27
SHOP001,73130,Pantop DSR,2025-04-21,30
SHOP001,73133,Azithral 500,2025-04-21,1
SHOP002,73132,Montair LC,2025-04-21,5
SHOP002,73179,Itaspor 100,2025-04-21,4
SHOP001,73138,Moxikind CV 625,2025-04-21,2
SHOP001,73160,Meftal Spas,2025-04-21,1
SHOP001,73135,Glycomet GP2,2025-04-22,4
SHOP001,73142,Ciplox 500,2025-04-22,2
SHOP001,73131,Dolo 650,2025-04-23,5
SHOP001,73131,Dolo 650,2025-04-23,4
SHOP001,73148,Cyclopam,2025-04-24,1
SHOP001,73146,Janumet 50/500,2025-04-24,10
SHOP002,73158,Cefakind 500,2025-04-24,4
SHOP002,73166,Ofal-OZ,2025-04-24,5
SHOP001,73145,Benadryl Syrup,2025-04-24,5
SHOP002,73173,Neurobion Forte,2025-04-24,5
SHOP001,73177,Voveran SR 100,2025-04-25,3
SHOP001,73161,Aztor 10,2025-04-25,6
SHOP002,73157,Eldoper Caps,2025-04-25,2
SHOP002,73140,Atorva 10,2025-04-26,6
SHOP001,73137,Electral Powder,2025-04-26,10
SHOP002,73132,Montair LC,2025-04-26,2
SHOP002,73164,Limcee 500,2025-04-26,4
SHOP002,73172,Evion 400,2025-04-27,4
SHOP002,73177,Voveran SR 100,2025-04-27,5
SHOP001,73137,Electral Powder,2025-04-27,15
SHOP002,73151,Celin 500,2025-04-27,4
SHOP001,73142,Ciplox 500,2025-04-27,1
SHOP001,73149,Becosules Caps,2025-04-28,1
SHOP002,73174,Dulcoflex 5mg,2025-04-28,2
SHOP002,73158,Cefakind 500,2025-04-28,2
SHOP002,73179,Itaspor 100,2025-04-28,3
SHOP001,73150,Shelcal 500,2025-04-28,4
SHOP001,73151,Celin 500,2025-04-28,1
SHOP001,73132,Montair LC,2025-04-28,5
SHOP002,73148,Cyclopam,2025-04-29,4
SHOP002,73138,Moxikind CV 625,2025-04-29,3
SHOP001,73171,Alex Cough Syrup,2025-04-29,3
SHOP001,73177,Voveran SR 100,2025-04-29,5
SHOP002,73132,Montair LC,2025-04-29,4
SHOP001,73149,Becosules Caps,2025-04-29,1
SHOP002,73169,Foracort 200,2025-04-30,3
SHOP001,73139,Ondem 4mg,2025-04-30,4
SHOP002,73132,Montair LC,2025-04-30,2
SHOP001,73131,Dolo 650,2025-04-30,4
SHOP001,73160,Meftal Spas,2025-05-01,2
SHOP001,73142,Ciplox 500,2025-05-01,1
SHOP002,73139,Ondem 4mg,2025-05-01,2
SHOP001,73154,Gelusil MPS,2025-05-01,30
SHOP001,73151,Celin 500,2025-05-01,4
SHOP002,73134,Ascoril LS Syrup,2025-05-01,4
SHOP001,73152,Zocon 150,2025-05-02,4
SHOP001,73138,Moxikind CV 625,2025-05-02,2
SHOP001,73158,Cefakind 500,2025-05-02,2
SHOP001,73136,Telmikind 40,2025-05-02,8
SHOP002,73161,Aztor 10,2025-05-02,10
SHOP001,73140,Atorva 10,2025-05-03,3
SHOP001,73175,Avil 25,2025-05-03,2
SHOP002,73132,Montair LC,2025-05-03,4
SHOP001,73177,Voveran SR 100,2025-05-04,5
SHOP002,73139,Ondem 4mg,2025-05-04,4
SHOP002,73179,Itaspor 100,2025-05-04,2
SHOP002,73161,Aztor 10,2025-05-04,7
SHOP002,73155,Thyronorm 50,2025-05-05,4
SHOP002,73171,Alex Cough Syrup,2025-05-05,5
SHOP001,73168,Rabekind D,2025-05-05,1
SHOP001,73155,Thyronorm 50,2025-05-05,4
SHOP001,73138,Moxikind CV 625,2025-05-05,2
SHOP002,73153,Deriphyllin 150,2025-05-05,5
SHOP001,73166,Ofal-OZ,2025-05-06,4
