transaction_id,shop_id,medicine_id,type,date,quantity,reason
TXN10013,SHOP002,73132,PURCHASE,2025-01-02,391,Initial Opening Stock
TXN10054,SHOP002,73141,PURCHASE,2025-01-02,238,Initial Opening Stock
TXN10052,SHOP001,73141,PURCHASE,2025-01-02,382,Initial Opening Stock
TXN10031,SHOP002,73136,PURCHASE,2025-01-02,416,Initial Opening Stock
TXN10050,SHOP002,73140,PURCHASE,2025-01-02,478,Initial Opening Stock
TXN10019,SHOP002,73133,PURCHASE,2025-01-02,214,Initial Opening Stock
TXN10047,SHOP001,73140,PURCHASE,2025-01-02,491,Initial Opening Stock
TXN10021,SHOP001,73134,PURCHASE,2025-01-02,228,Initial Opening Stock
TXN10045,SHOP002,73139,PURCHASE,2025-01-02,388,Initial Opening Stock
TXN10043,SHOP001,73139,PURCHASE,2025-01-02,131,Initial Opening Stock
TXN10023,SHOP002,73134,PURCHASE,2025-01-02,134,Initial Opening Stock
TXN10025,SHOP001,73135,PURCHASE,2025-01-02,247,Initial Opening Stock
TXN10040,SHOP002,73138,PURCHASE,2025-01-02,130,Initial Opening Stock
TXN10038,SHOP001,73138,PURCHASE,2025-01-02,202,Initial Opening Stock
TXN10027,SHOP002,73135,PURCHASE,2025-01-02,223,Initial Opening Stock
TXN10029,SHOP001,73136,PURCHASE,2025-01-02,412,Initial Opening Stock
TXN10035,SHOP002,73137,PURCHASE,2025-01-02,234,Initial Opening Stock
TXN10033,SHOP001,73137,PURCHASE,2025-01-02,156,Initial Opening Stock
TXN10010,SHOP001,73132,PURCHASE,2025-01-02,170,Initial Opening Stock
TXN10059,SHOP002,73142,PURCHASE,2025-01-02,344,Initial Opening Stock
TXN10016,SHOP001,73133,PURCHASE,2025-01-02,160,Initial Opening Stock
TXN10008,SHOP002,73131,PURCHASE,2025-01-02,416,Initial Opening Stock
TXN10061,SHOP001,73143,PURCHASE,2025-01-02,216,Initial Opening Stock
TXN10005,SHOP001,73131,PURCHASE,2025-01-02,197,Initial Opening Stock
TXN10003,SHOP002,73130,PURCHASE,2025-01-02,472,Initial Opening Stock
TXN10063,SHOP002,73143,PURCHASE,2025-01-02,113,Initial Opening Stock
TXN10065,SHOP001,73144,PURCHASE,2025-01-02,200,Initial Opening Stock
TXN10067,SHOP002,73144,PURCHASE,2025-01-02,294,Initial Opening Stock
TXN10087,SHOP002,73148,ADJUSTMENT,2025-01-15,-12,Damaged Packets
TXN10203,SHOP002,73174,ADJUSTMENT,2025-01-15,-10,Audit Discrepancy
TXN10056,SHOP002,73141,ADJUSTMENT,2025-01-15,-20,Audit Discrepancy
TXN10049,SHOP001,73140,ADJUSTMENT,2025-02-15,-18,Audit Discrepancy
TXN10077,SHOP002,73146,ADJUSTMENT,2025-02-15,-16,Expired Batch Removed
TXN10136,SHOP001,73159,ADJUSTMENT,2025-03-15,-18,Audit Discrepancy
TXN10090,SHOP001,73149,ADJUSTMENT,2025-03-15,-14,Damaged Packets
TXN10181,SHOP002,73169,ADJUSTMENT,2025-05-15,-15,Expired Batch Removed
TXN10176,SHOP002,73168,ADJUSTMENT,2025-05-15,-16,Expired Batch Removed
TXN10098,SHOP002,73150,ADJUSTMENT,2025-05-15,-11,Expired Batch Removed
TXN10037,SHOP002,73137,ADJUSTMENT,2025-06-15,-18,Expired Batch Removed
TXN10222,SHOP001,73179,ADJUSTMENT,2025-06-15,-16,Audit Discrepancy
TXN10175,SHOP002,73168,PURCHASE,2025-07-01,251,Monsoon Restock
TXN10217,SHOP001,73178,PURCHASE,2025-07-01,210,Monsoon Restock
TXN10173,SHOP001,73168,PURCHASE,2025-07-01,288,Monsoon Restock
TXN10024,SHOP002,73134,PURCHASE,2025-07-01,373,Monsoon Restock
TXN10159,SHOP002,73164,PURCHASE,2025-07-01,268,Monsoon Restock
TXN10171,SHOP002,73167,PURCHASE,2025-07-01,171,Monsoon Restock
TXN10165,SHOP001,73166,PURCHASE,2025-07-01,340,Monsoon Restock
TXN10030,SHOP001,73136,PURCHASE,2025-07-01,278,Monsoon Restock
TXN10221,SHOP001,73179,PURCHASE,2025-07-01,169,Monsoon Restock
TXN10169,SHOP001,73167,PURCHASE,2025-07-01,354,Monsoon Restock
TXN10002,SHOP001,73130,PURCHASE,2025-07-01,336,Monsoon Restock
TXN10026,SHOP001,73135,PURCHASE,2025-07-01,169,Monsoon Restock
TXN10167,SHOP002,73166,PURCHASE,2025-07-01,183,Monsoon Restock
TXN10219,SHOP002,73178,PURCHASE,2025-07-01,279,Monsoon Restock
TXN10163,SHOP002,73165,PURCHASE,2025-07-01,191,Monsoon Restock
TXN10028,SHOP002,73135,PURCHASE,2025-07-01,368,Monsoon Restock
TXN10161,SHOP001,73165,PURCHASE,2025-07-01,295,Monsoon Restock
TXN10009,SHOP002,73131,PURCHASE,2025-07-01,380,Monsoon Restock
TXN10180,SHOP002,73169,PURCHASE,2025-07-01,305,Monsoon Restock
TXN10178,SHOP001,73169,PURCHASE,2025-07-01,214,Monsoon Restock
TXN10205,SHOP001,73175,PURCHASE,2025-07-01,370,Monsoon Restock
TXN10202,SHOP002,73174,PURCHASE,2025-07-01,209,Monsoon Restock
TXN10011,SHOP001,73132,PURCHASE,2025-07-01,355,Monsoon Restock
TXN10200,SHOP001,73174,PURCHASE,2025-07-01,373,Monsoon Restock
TXN10198,SHOP002,73173,PURCHASE,2025-07-01,208,Monsoon Restock
TXN10209,SHOP001,73176,PURCHASE,2025-07-01,165,Monsoon Restock
TXN10211,SHOP002,73176,PURCHASE,2025-07-01,399,Monsoon Restock
TXN10196,SHOP001,73173,PURCHASE,2025-07-01,216,Monsoon Restock
TXN10014,SHOP002,73132,PURCHASE,2025-07-01,170,Monsoon Restock
TXN10194,SHOP002,73172,PURCHASE,2025-07-01,196,Monsoon Restock
TXN10022,SHOP001,73134,PURCHASE,2025-07-01,249,Monsoon Restock
TXN10191,SHOP001,73172,PURCHASE,2025-07-01,390,Monsoon Restock
TXN10189,SHOP002,73171,PURCHASE,2025-07-01,205,Monsoon Restock
TXN10017,SHOP001,73133,PURCHASE,2025-07-01,277,Monsoon Restock
TXN10187,SHOP001,73171,PURCHASE,2025-07-01,272,Monsoon Restock
TXN10185,SHOP002,73170,PURCHASE,2025-07-01,152,Monsoon Restock
TXN10213,SHOP001,73177,PURCHASE,2025-07-01,366,Monsoon Restock
TXN10183,SHOP001,73170,PURCHASE,2025-07-01,263,Monsoon Restock
TXN10020,SHOP002,73133,PURCHASE,2025-07-01,360,Monsoon Restock
TXN10207,SHOP002,73175,PURCHASE,2025-07-01,160,Monsoon Restock
TXN10215,SHOP002,73177,PURCHASE,2025-07-01,288,Monsoon Restock
TXN10004,SHOP002,73130,PURCHASE,2025-07-01,314,Monsoon Restock
TXN10006,SHOP001,73131,PURCHASE,2025-07-01,363,Monsoon Restock
TXN10157,SHOP001,73164,PURCHASE,2025-07-01,223,Monsoon Restock
TXN10036,SHOP002,73137,PURCHASE,2025-07-01,317,Monsoon Restock
TXN10155,SHOP002,73163,PURCHASE,2025-07-01,249,Monsoon Restock
TXN10113,SHOP001,73154,PURCHASE,2025-07-01,202,Monsoon Restock
TXN10032,SHOP002,73136,PURCHASE,2025-07-01,164,Monsoon Restock
TXN10110,SHOP002,73153,PURCHASE,2025-07-01,176,Monsoon Restock
TXN10053,SHOP001,73141,PURCHASE,2025-07-01,272,Monsoon Restock
TXN10108,SHOP001,73153,PURCHASE,2025-07-01,231,Monsoon Restock
TXN10106,SHOP002,73152,PURCHASE,2025-07-01,212,Monsoon Restock
TXN10055,SHOP002,73141,PURCHASE,2025-07-01,335,Monsoon Restock
TXN10104,SHOP001,73152,PURCHASE,2025-07-01,349,Monsoon Restock
TXN10102,SHOP002,73151,PURCHASE,2025-07-01,263,Monsoon Restock
TXN10100,SHOP001,73151,PURCHASE,2025-07-01,338,Monsoon Restock
TXN10058,SHOP001,73142,PURCHASE,2025-07-01,316,Monsoon Restock
TXN10097,SHOP002,73150,PURCHASE,2025-07-01,318,Monsoon Restock
TXN10094,SHOP001,73150,PURCHASE,2025-07-01,224,Monsoon Restock
TXN10060,SHOP002,73142,PURCHASE,2025-07-01,227,Monsoon Restock
TXN10092,SHOP002,73149,PURCHASE,2025-07-01,239,Monsoon Restock
TXN10089,SHOP001,73149,PURCHASE,2025-07-01,164,Monsoon Restock
TXN10062,SHOP001,73143,PURCHASE,2025-07-01,155,Monsoon Restock
TXN10086,SHOP002,73148,PURCHASE,2025-07-01,295,Monsoon Restock
TXN10084,SHOP001,73148,PURCHASE,2025-07-01,341,Monsoon Restock
TXN10064,SHOP002,73143,PURCHASE,2025-07-01,348,Monsoon Restock
TXN10081,SHOP002,73147,PURCHASE,2025-07-01,210,Monsoon Restock
TXN10079,SHOP001,73147,PURCHASE,2025-07-01,237,Monsoon Restock
TXN10066,SHOP001,73144,PURCHASE,2025-07-01,286,Monsoon Restock
TXN10076,SHOP002,73146,PURCHASE,2025-07-01,185,Monsoon Restock
TXN10074,SHOP001,73146,PURCHASE,2025-07-01,260,Monsoon Restock
TXN10068,SHOP002,73144,PURCHASE,2025-07-01,324,Monsoon Restock
TXN10072,SHOP002,73145,PURCHASE,2025-07-01,346,Monsoon Restock
TXN10051,SHOP002,73140,PURCHASE,2025-07-01,306,Monsoon Restock
TXN10115,SHOP002,73154,PURCHASE,2025-07-01,209,Monsoon Restock
TXN10224,SHOP002,73179,PURCHASE,2025-07-01,168,Monsoon Restock
TXN10132,SHOP002,73158,PURCHASE,2025-07-01,276,Monsoon Restock
TXN10146,SHOP002,73161,PURCHASE,2025-07-01,357,Monsoon Restock
TXN10151,SHOP002,73162,PURCHASE,2025-07-01,336,Monsoon Restock
TXN10144,SHOP001,73161,PURCHASE,2025-07-01,386,Monsoon Restock
TXN10142,SHOP002,73160,PURCHASE,2025-07-01,382,Monsoon Restock
TXN10039,SHOP001,73138,PURCHASE,2025-07-01,235,Monsoon Restock
TXN10140,SHOP001,73160,PURCHASE,2025-07-01,345,Monsoon Restock
TXN10138,SHOP002,73159,PURCHASE,2025-07-01,319,Monsoon Restock
TXN10041,SHOP002,73138,PURCHASE,2025-07-01,185,Monsoon Restock
TXN10135,SHOP001,73159,PURCHASE,2025-07-01,207,Monsoon Restock
TXN10117,SHOP001,73155,PURCHASE,2025-07-01,203,Monsoon Restock
TXN10070,SHOP001,73145,PURCHASE,2025-07-01,291,Monsoon Restock
TXN10130,SHOP001,73158,PURCHASE,2025-07-01,221,Monsoon Restock
TXN10148,SHOP001,73162,PURCHASE,2025-07-01,343,Monsoon Restock
TXN10128,SHOP002,73157,PURCHASE,2025-07-01,361,Monsoon Restock
TXN10126,SHOP001,73157,PURCHASE,2025-07-01,221,Monsoon Restock
TXN10046,SHOP002,73139,PURCHASE,2025-07-01,381,Monsoon Restock
TXN10124,SHOP002,73156,PURCHASE,2025-07-01,277,Monsoon Restock
TXN10122,SHOP001,73156,PURCHASE,2025-07-01,266,Monsoon Restock
TXN10048,SHOP001,73140,PURCHASE,2025-07-01,356,Monsoon Restock
TXN10034,SHOP001,73137,PURCHASE,2025-07-01,299,Monsoon Restock
TXN10120,SHOP002,73155,PURCHASE,2025-07-01,328,Monsoon Restock
TXN10153,SHOP001,73163,PURCHASE,2025-07-01,164,Monsoon Restock
TXN10044,SHOP001,73139,PURCHASE,2025-07-01,210,Monsoon Restock
TXN10133,SHOP002,73158,ADJUSTMENT,2025-07-15,-17,Expired Batch Removed
TXN10095,SHOP001,73150,ADJUSTMENT,2025-07-15,-20,Audit Discrepancy
TXN10012,SHOP001,73132,ADJUSTMENT,2025-07-15,-17,Damaged Packets
TXN10111,SHOP002,73153,ADJUSTMENT,2025-07-15,-20,Expired Batch Removed
TXN10007,SHOP001,73131,ADJUSTMENT,2025-08-15,-16,Expired Batch Removed
TXN10015,SHOP002,73132,ADJUSTMENT,2025-09-15,-14,Damaged Packets
TXN10018,SHOP001,73133,ADJUSTMENT,2025-10-15,-15,Damaged Packets
TXN10082,SHOP002,73147,ADJUSTMENT,2025-10-15,-5,Damaged Packets
TXN10192,SHOP001,73172,ADJUSTMENT,2025-10-15,-15,Damaged Packets
TXN10118,SHOP001,73155,ADJUSTMENT,2025-12-15,-9,Damaged Packets
TXN10149,SHOP001,73162,ADJUSTMENT,2025-12-15,-18,Expired Batch Removed
TXN10042,SHOP002,73138,ADJUSTMENT,2025-12-15,-15,Audit Discrepancy
